catalog_version,field_name,field_id,option_set_id,point_profile_id,option_count,max_points
0.6,fairnessDesign5,81,1,3,2,2
0.6,fairnessDesign6,82,1,15,2,1
0.6,fairnessDesign7,83,1,15,2,1
0.6,fairnessDesign8,84,1,3,2,2
0.6,fairnessDesign9,85,1,3,2,2
0.6,fairnessImplementation1,89,1,3,2,2
0.6,fairnessImplementation10,98,1,15,2,1
0.6,fairnessImplementation11,99,1,3,2,2
0.6,fairnessImplementation12,100,1,15,2,1
0.6,fairnessImplementation2,90,1,3,2,2
0.6,fairnessImplementation3,91,1,15,2,1
0.6,fairnessImplementation4,92,1,15,2,1
0.6,fairnessImplementation5,93,1,3,2,2
0.6,fairnessImplementation6,94,1,15,2,1
0.6,fairnessImplementation7,95,1,15,2,1
0.6,fairnessImplementation8,96,1,3,2,2
0.6,fairnessImplementation9,97,1,3,2,2
0.6,impact1,23,1,15,2,1
0.6,impact11,33,20,49,4,4
0.6,impact13,35,20,49,4,4
0.6,impact15,37,20,49,4,4
0.6,impact2,24,1,1,2,3
0.6,impact3,25,1,2,2,4
0.6,impact5,27,1,2,2,4
0.6,impact6,28,16,22,4,4
0.6,impact7,29,17,23,4,4
0.6,impact9,31,20,50,4,2
0.6,privacyDesign1,101,1,15,2,1
0.6,privacyDesign2,102,1,15,2,1
0.6,privacyImplementation1,103,1,15,2,1
0.6,privacyImplementation2,104,1,15,2,1
0.6,projectAuthority1,16,1,3,2,2
0.6,projectDetailsDepartment-NS,3,DEPARTMENTS,,101,0
0.6,projectDetailsPhase,8,30,44,2,0
0.6,riskProfile1,12,1,1,2,3
0.6,riskProfile2,13,1,1,2,3
0.6,riskProfile3,14,1,2,2,4
0.6,riskProfile4,15,1,1,2,3
0.8a1,aboutAlgorithm1,19,1,1,2,3
0.8a1,aboutAlgorithm2,20,1,1,2,3
0.8a1,aboutDataSource1,39,1,2,2,4
0.8a1,aboutDataSource2,40,2,5,5,4
0.8a1,aboutDataSource3,41,3,6,4,3
0.8a1,aboutDataSource4,42,1,2,2,4
0.8a1,aboutDataSource5,43,1,2,2,4
0.8a1,aboutDataSource6,44,1,2,2,4
0.8a1,aboutDataSource7,45,4,7,4,4
0.8a1,aboutDataSource8,46,4,7,4,4
0.8a1,aboutDataType1,47,1,9,2,0
0.8a1,aboutDataType2,48,22,40,2,4
0.8a1,aboutSystem1,17,26,38,6,1
0.8a1,businessDrivers1,10,27,48,6,0
0.8a1,consultationDesign1,49,1,15,2,1
0.8a1,consultationDesign2-NS,50,28,42,7,0
0.8a1,consultationDesign3,51,1,15,2,1
0.8a1,consultationDesign4-NS,52,29,43,3,0
0.8a1,consultationImplementation1,53,1,15,2,1
0.8a1,consultationImplementation2-NS,54,28,42,7,0
0.8a1,consultationImplementation3,55,1,15,2,1
0.8a1,consultationImplementation4-NS,56,29,43,3,0
0.8a1,dataQualityDesign1,57,1,3,2,2
0.8a1,dataQualityDesign10,66,1,3,2,2
0.8a1,dataQualityDesign2,58,1,15,2,1
0.8a1,dataQualityDesign3,59,1,15,2,1
0.8a1,dataQualityDesign4,60,1,15,2,1
0.8a1,dataQualityDesign5,61,1,15,2,1
0.8a1,dataQualityDesign6,62,1,15,2,1
0.8a1,dataQualityDesign7,63,1,3,2,2
0.8a1,dataQualityDesign8,64,1,3,2,2
0.8a1,dataQualityDesign9,65,1,15,2,1
0.8a1,dataQualityImplementation1,67,1,3,2,2
0.8a1,dataQualityImplementation10,76,1,3,2,2
0.8a1,dataQualityImplementation2,68,1,15,2,1
0.8a1,dataQualityImplementation3,69,1,15,2,1
0.8a1,dataQualityImplementation4,70,1,15,2,1
0.8a1,dataQualityImplementation5,71,1,15,2,1
0.8a1,dataQualityImplementation6,72,1,15,2,1
0.8a1,dataQualityImplementation7,73,1,3,2,2
0.8a1,dataQualityImplementation8,74,1,3,2,2
0.8a1,dataQualityImplementation9,75,1,15,2,1
0.8a1,decisionSector1,21,31,47,6,1
0.8a1,fairnessDesign1,77,1,15,2,1
0.8a1,fairnessDesign10,86,1,3,2,2
0.8a1,fairnessDesign11,87,1,15,2,1
0.8a1,fairnessDesign12,88,1,15,2,1
0.8a1,fairnessDesign13,89,1,3,2,2
0.8a1,fairnessDesign14,90,1,3,2,2
0.8a1,fairnessDesign15,91,1,15,2,1
0.8a1,fairnessDesign16,92,1,3,2,2
0.8a1,fairnessDesign17,93,1,15,2,1
0.8a1,fairnessDesign2,78,1,3,2,2
0.8a1,fairnessDesign3,79,1,3,2,2
0.8a1,fairnessDesign4,80,1,15,2,1
0.8a1,fairnessDesign5,81,1,3,2,2
0.8a1,fairnessDesign6,82,1,15,2,1
0.8a1,fairnessDesign7,83,1,15,2,1
0.8a1,fairnessDesign8,84,1,3,2,2
0.8a1,fairnessDesign9,85,1,15,2,1
0.8a1,fairnessImplementation1,94,1,15,2,1
0.8a1,fairnessImplementation10,103,1,3,2,2
0.8a1,fairnessImplementation11,104,1,15,2,1
0.8a1,fairnessImplementation12,105,1,15,2,1
0.8a1,fairnessImplementation13,106,1,3,2,2
0.8a1,fairnessImplementation14,107,1,3,2,2
0.8a1,fairnessImplementation15,108,1,15,2,1
0.8a1,fairnessImplementation16,109,1,3,2,2
0.8a1,fairnessImplementation17,110,1,15,2,1
0.8a1,fairnessImplementation2,95,1,3,2,2
0.8a1,fairnessImplementation3,96,1,3,2,2
0.8a1,fairnessImplementation4,97,1,15,2,1
0.8a1,fairnessImplementation5,98,1,3,2,2
0.8a1,fairnessImplementation6,99,1,15,2,1
0.8a1,fairnessImplementation7,100,1,15,2,1
0.8a1,fairnessImplementation8,101,1,3,2,2
0.8a1,fairnessImplementation9,102,1,15,2,1
0.8a1,impact1,23,1,15,2,1
0.8a1,impact11,33,20,49,4,4
0.8a1,impact13,35,20,49,4,4
0.8a1,impact15,37,20,49,4,4
0.8a1,impact2,24,1,1,2,3
0.8a1,impact3,25,1,2,2,4
0.8a1,impact5,27,1,2,2,4
0.8a1,impact6,28,16,22,4,4
0.8a1,impact7,29,17,23,4,4
0.8a1,impact9,31,20,50,4,2
0.8a1,privacyDesign1,111,1,15,2,1
0.8a1,privacyDesign2,112,1,15,2,1
0.8a1,privacyImplementation1,113,1,15,2,1
0.8a1,privacyImplementation2,114,1,15,2,1
0.8a1,projectAuthority1,16,1,3,2,2
0.8a1,projectDetailsDepartment-NS,3,DEPARTMENTS,,101,0
0.8a1,projectDetailsPhase,8,30,44,2,0
0.8a1,riskProfile1,12,1,1,2,3
0.8a1,riskProfile2,13,1,1,2,3
0.8a1,riskProfile3,14,1,2,2,4
0.8a1,riskProfile4,15,1,1,2,3
0.9,aboutAlgorithm1,19,1,1,2,3
0.9,aboutAlgorithm2,20,1,1,2,3
0.9,aboutDataSource1,39,1,2,2,4
0.9,aboutDataSource10,41,1,3,2,2
0.9,aboutDataSource11,42,1,4,2,1
0.9,aboutDataSource2,43,2,5,5,4
0.9,aboutDataSource3,44,3,6,4,3
0.9,aboutDataSource4,45,1,2,2,4
0.9,aboutDataSource5,46,1,2,2,4
0.9,aboutDataSource6,47,1,2,2,4
0.9,aboutDataSource7,48,4,7,4,4
0.9,aboutDataSource8,49,4,7,4,4
0.9,aboutDataSource9,40,1,8,2,4
0.9,aboutDataType1,50,1,9,2,0
0.9,aboutDataType2,51,5,10,2,4
0.9,aboutSystem1,17,6,51,6,1
0.9,businessDrivers1,10,27,48,6,0
0.9,consultationDesign1,52,1,15,2,1
0.9,consultationDesign2,53,32,52,8,0
0.9,consultationDesign3,55,1,15,2,1
0.9,consultationDesign4,56,33,53,5,0
0.9,consultationImplementation1,58,1,15,2,1
0.9,consultationImplementation2,59,34,54,8,0
0.9,consultationImplementation3,61,1,15,2,1
0.9,consultationImplementation4,62,33,53,5,0
0.9,dataQualityDesign1,64,1,3,2,2
0.9,dataQualityDesign10,73,1,3,2,2
0.9,dataQualityDesign2,65,1,15,2,1
0.9,dataQualityDesign3,66,1,15,2,1
0.9,dataQualityDesign4,67,1,15,2,1
0.9,dataQualityDesign5,68,1,15,2,1
0.9,dataQualityDesign6,69,1,15,2,1
0.9,dataQualityDesign7,70,1,3,2,2
0.9,dataQualityDesign8,71,1,3,2,2
0.9,dataQualityDesign9,72,1,15,2,1
0.9,dataQualityImplementation1,74,1,3,2,2
0.9,dataQualityImplementation10,83,1,3,2,2
0.9,dataQualityImplementation2,75,1,15,2,1
0.9,dataQualityImplementation3,76,1,15,2,1
0.9,dataQualityImplementation4,77,1,15,2,1
0.9,dataQualityImplementation5,78,1,15,2,1
0.9,dataQualityImplementation6,79,1,15,2,1
0.9,dataQualityImplementation7,80,1,3,2,2
0.9,dataQualityImplementation8,81,1,3,2,2
0.9,dataQualityImplementation9,82,1,15,2,1
0.9,decisionSector1,21,31,47,6,1
0.9,fairnessDesign1,84,1,15,2,1
0.9,fairnessDesign10,93,1,3,2,2
0.9,fairnessDesign11,94,1,15,2,1
0.9,fairnessDesign12,95,1,15,2,1
0.9,fairnessDesign13,96,1,3,2,2
0.9,fairnessDesign14,97,1,3,2,2
0.9,fairnessDesign15,98,1,15,2,1
0.9,fairnessDesign16,99,1,3,2,2
0.9,fairnessDesign17,100,1,15,2,1
0.9,fairnessDesign2,85,1,3,2,2
0.9,fairnessDesign3,86,1,3,2,2
0.9,fairnessDesign4,87,1,15,2,1
0.9,fairnessDesign5,88,1,3,2,2
0.9,fairnessDesign6,89,1,15,2,1
0.9,fairnessDesign7,90,1,15,2,1
0.9,fairnessDesign8,91,1,3,2,2
0.9,fairnessDesign9,92,1,15,2,1
0.9,fairnessImplementation1,101,1,15,2,1
0.9,fairnessImplementation10,110,1,3,2,2
0.9,fairnessImplementation11,111,1,15,2,1
0.9,fairnessImplementation12,112,1,15,2,1
0.9,fairnessImplementation13,113,1,3,2,2
0.9,fairnessImplementation14,114,1,3,2,2
0.9,fairnessImplementation15,115,1,15,2,1
0.9,fairnessImplementation16,116,1,3,2,2
0.9,fairnessImplementation17,117,1,15,2,1
0.9,fairnessImplementation2,102,1,3,2,2
0.9,fairnessImplementation3,103,1,3,2,2
0.9,fairnessImplementation4,104,1,15,2,1
0.9,fairnessImplementation5,105,1,3,2,2
0.9,fairnessImplementation6,106,1,15,2,1
0.9,fairnessImplementation7,107,1,15,2,1
0.9,fairnessImplementation8,108,1,3,2,2
0.9,fairnessImplementation9,109,1,15,2,1
0.9,impact1,23,1,15,2,1
0.9,impact11,33,14,20,4,4
0.9,impact13,35,14,20,4,4
0.9,impact15,37,14,20,4,4
0.9,impact2,24,1,1,2,3
0.9,impact3,25,1,2,2,4
0.9,impact5,27,1,2,2,4
0.9,impact6,28,16,22,4,4
0.9,impact7,29,17,23,4,4
0.9,impact9,31,14,20,4,4
0.9,privacyDesign1,118,1,15,2,1
0.9,privacyDesign2,119,1,15,2,1
0.9,privacyDesign3,120,1,15,2,1
0.9,privacyDesign4,121,1,15,2,1
0.9,privacyImplementation1,122,1,15,2,1
0.9,privacyImplementation2,123,1,15,2,1
0.9,privacyImplementation3,124,1,15,2,1
0.9,privacyImplementation4,125,1,15,2,1
0.9,projectAuthority1,16,1,3,2,2
0.9,projectDetailsDepartment-NS,3,DEPARTMENTS,,101,0
0.9,projectDetailsPhase,8,35,55,2,0
0.9,riskProfile1,12,1,1,2,3
0.9,riskProfile2,13,1,1,2,3
0.9,riskProfile3,14,1,2,2,4
0.9,riskProfile4,15,1,1,2,3
0.9.1,aboutAlgorithm1,19,1,1,2,3
0.9.1,aboutAlgorithm2,20,1,1,2,3
0.9.1,aboutDataSource1,39,1,2,2,4
0.9.1,aboutDataSource10,41,1,3,2,2
0.9.1,aboutDataSource11,42,1,4,2,1
0.9.1,aboutDataSource2,43,2,5,5,4
0.9.1,aboutDataSource3,44,3,6,4,3
0.9.1,aboutDataSource4,45,1,2,2,4
0.9.1,aboutDataSource5,46,1,2,2,4
0.9.1,aboutDataSource6,47,1,2,2,4
0.9.1,aboutDataSource7,48,4,7,4,4
0.9.1,aboutDataSource8,49,4,7,4,4
0.9.1,aboutDataSource9,40,1,8,2,4
0.9.1,aboutDataType1,50,1,9,2,0
0.9.1,aboutDataType2,51,5,10,2,4
0.9.1,aboutSystem1,17,6,11,6,0
0.9.1,businessDrivers1,10,7,12,6,0
0.9.1,consultationDesign1,52,1,15,2,1
0.9.1,consultationDesign2,53,32,52,8,0
0.9.1,consultationDesign3,55,1,15,2,1
0.9.1,consultationDesign4,56,33,53,5,0
0.9.1,consultationImplementation1,58,1,15,2,1
0.9.1,consultationImplementation2,59,34,54,8,0
0.9.1,consultationImplementation3,61,1,15,2,1
0.9.1,consultationImplementation4,62,33,53,5,0
0.9.1,dataQualityDesign1,64,1,3,2,2
0.9.1,dataQualityDesign10,73,1,3,2,2
0.9.1,dataQualityDesign2,65,1,15,2,1
0.9.1,dataQualityDesign3,66,1,15,2,1
0.9.1,dataQualityDesign4,67,1,15,2,1
0.9.1,dataQualityDesign5,68,1,15,2,1
0.9.1,dataQualityDesign6,69,1,15,2,1
0.9.1,dataQualityDesign7,70,1,3,2,2
0.9.1,dataQualityDesign8,71,1,3,2,2
0.9.1,dataQualityDesign9,72,1,15,2,1
0.9.1,dataQualityImplementation1,74,1,3,2,2
0.9.1,dataQualityImplementation10,83,1,3,2,2
0.9.1,dataQualityImplementation2,75,1,15,2,1
0.9.1,dataQualityImplementation3,76,1,15,2,1
0.9.1,dataQualityImplementation4,77,1,15,2,1
0.9.1,dataQualityImplementation5,78,1,15,2,1
0.9.1,dataQualityImplementation6,79,1,15,2,1
0.9.1,dataQualityImplementation7,80,1,3,2,2
0.9.1,dataQualityImplementation8,81,1,3,2,2
0.9.1,dataQualityImplementation9,82,1,15,2,1
0.9.1,decisionSector1,21,31,47,6,1
0.9.1,fairnessDesign1,84,1,15,2,1
0.9.1,fairnessDesign10,93,1,3,2,2
0.9.1,fairnessDesign11,94,1,15,2,1
0.9.1,fairnessDesign12,95,1,15,2,1
0.9.1,fairnessDesign13,96,1,3,2,2
0.9.1,fairnessDesign14,97,1,3,2,2
