section_uid,catalog_version,page_name,section_name_en,section_name_fr,display_order,point_type,mitigation_phase,max_raw_points,max_mitigation_points,match_method,match_score
19,0.9.1,aboutData,About the Data,À propos des données,10,raw,,44,0,page_name,1.0
20,0.9.1,consultationDesign,Consultations,,11,mitigation,design,0,2,page_name,1.0
21,0.9.1,consultationImplementation,Consultations,,12,mitigation,implementation,0,2,page_name,1.0
22,0.9.1,dataQualityDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,mitigation,design,0,14,page_name,1.0
23,0.9.1,dataQualityImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,mitigation,implementation,0,14,page_name,1.0
24,0.9.1,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,mitigation,design,0,25,page_name,1.0
25,0.9.1,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,mitigation,implementation,0,25,page_name,1.0
26,0.9.1,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,mitigation,design,0,4,page_name,1.0
27,0.9.1,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,mitigation,implementation,0,4,page_name,1.0
1,0.10.0,projectDetails,Project Details,Détails du projet,2,none,,0,0,page_name,1.0
2,0.10.0,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,raw,,8,0,page_name,1.0
9,0.10.0,riskProfile,Risk Profile,Profil de risque,4,raw,,17,0,page_name,1.0
10,0.10.0,projectAuthority,Project Authority,Autorité de projet,5,raw,,2,0,page_name,1.0
11,0.10.0,aboutSystem,About The System,À propos du système,6,none,,0,0,page_name,1.0
12,0.10.0,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,raw,,6,0,page_name,1.0
4,0.10.0,decisionSector,About the Decision,À propos de la décision,8,raw,,7,0,page_name,1.0
5,0.10.0,impact,Impact Assessment,Évaluation de l'incidence,9,raw,,42,0,page_name,1.0
19,0.10.0,aboutData,About the Data,À propos des données,10,raw,,44,0,page_name,1.0
20,0.10.0,consultationDesign,Consultations,,11,mitigation,design,0,2,page_name,1.0
21,0.10.0,consultationImplementation,Consultations,,12,mitigation,implementation,0,2,page_name,1.0
22,0.10.0,dataQualityDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,mitigation,design,0,14,page_name,1.0
23,0.10.0,dataQualityImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,mitigation,implementation,0,14,page_name,1.0
24,0.10.0,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,mitigation,design,0,25,page_name,1.0
25,0.10.0,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,mitigation,implementation,0,25,page_name,1.0
26,0.10.0,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,mitigation,design,0,5,page_name,1.0
27,0.10.0,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,mitigation,implementation,0,5,page_name,1.0
1,1.0.0,projectDetails,Project Details,Détails du projet,2,none,,0,0,page_name,1.0
2,1.0.0,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,raw,,5,0,page_name,1.0
9,1.0.0,riskProfile,Risk Profile,Profil de risque,4,raw,,15,0,page_name,1.0
10,1.0.0,projectAuthority,Project Authority,Autorité de projet,5,raw,,2,0,page_name,1.0
11,1.0.0,aboutSystem,About The System,À propos du système,6,raw,,17,0,page_name,1.0
12,1.0.0,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,raw,,15,0,page_name,1.0
4,1.0.0,decisionSector,About the Decision,À propos de la décision,8,raw,,8,0,page_name,1.0
5,1.0.0,impact,Impact Assessment,Évaluation de l'incidence,9,raw,,52,0,page_name,1.0
19,1.0.0,aboutData,About the Data,À propos des données,10,raw,,53,0,page_name,1.0
20,1.0.0,consultationDesign,Consultations,,11,mitigation,design,0,10,page_name,1.0
21,1.0.0,consultationImplementation,Consultations,,12,mitigation,implementation,0,10,page_name,1.0
22,1.0.0,dataQualityDesign,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,mitigation,design,0,14,page_name,1.0
23,1.0.0,dataQualityImplementation,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,mitigation,implementation,0,14,page_name,1.0
24,1.0.0,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,mitigation,design,0,44,page_name,1.0
25,1.0.0,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,mitigation,implementation,0,44,page_name,1.0
26,1.0.0,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,mitigation,design,0,9,page_name,1.0
27,1.0.0,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,mitigation,implementation,0,9,page_name,1.0
1,1.0.1,projectDetails,Project Details,Détails du projet,2,none,,0,0,page_name,1.0
2,1.0.1,businessDrivers,Reasons for Automation,Raisons de l'automatisation,3,raw,,5,0,page_name,1.0
9,1.0.1,riskProfile,Risk Profile,Profil de risque,4,raw,,15,0,page_name,1.0
10,1.0.1,projectAuthority,Project Authority,Autorité de projet,5,raw,,2,0,page_name,1.0
11,1.0.1,aboutSystem,About The System,À propos du système,6,raw,,17,0,page_name,1.0
12,1.0.1,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,raw,,15,0,page_name,1.0
4,1.0.1,decisionSector,About the Decision,À propos de la décision,8,raw,,8,0,page_name,1.0
5,1.0.1,impact,Impact Assessment,Évaluation de l'incidence,9,raw,,52,0,page_name,1.0
19,1.0.1,aboutData,About the Data,À propos des données,10,raw,,53,0,page_name,1.0
20,1.0.1,consultationDesign,Consultations,,11,mitigation,design,0,10,page_name,1.0
21,1.0.1,consultationImplementation,Consultations,,12,mitigation,implementation,0,10,page_name,1.0
22,1.0.1,dataQualityDesign,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,mitigation,design,0,14,page_name,1.0
23,1.0.1,dataQualityImplementation,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,14,mitigation,implementation,0,14,page_name,1.0
24,1.0.1,fairnessDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,15,mitigation,design,0,44,page_name,1.0
25,1.0.1,fairnessImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,16,mitigation,implementation,0,44,page_name,1.0
26,1.0.1,privacyDesign,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,17,mitigation,design,0,9,page_name,1.0
27,1.0.1,privacyImplementation,De-Risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,18,mitigation,implementation,0,9,page_name,1.0
