point_profile_id,option_set_id,option_index,option_value,points
68,45,0,item1-1,1
68,45,1,item2-2,2
68,45,2,item3-3,3
68,45,3,item4-4,4
69,46,0,item1-0,0
69,46,1,item2-0,0
69,46,2,item3-1,1
69,46,3,item4-1,1
70,47,0,item1-0,0
70,47,1,item2-1,1
70,47,2,item3-2,2
71,48,0,item1,0
71,48,1,item2,0
71,48,2,item3,0
71,48,3,item4,0
71,48,4,item5,0
71,48,5,item6,0
72,49,0,item1-2,2
72,49,1,item2-0,0
72,49,2,item3-0,0
72,49,3,item4-0,0
72,49,4,item5-0,0
72,49,5,item6-0,0
73,50,0,item2,0
73,50,1,item3,0
73,50,2,item4,0
73,50,3,item5,0
73,50,4,item6,0
73,50,5,item7,0
73,50,6,item8,0
73,50,7,item10,0
73,50,8,item11,0
73,50,9,item12,0
73,50,10,item13,0
73,50,11,item14,0
73,50,12,item15,0
73,50,13,item16,0
73,50,14,item17,0
73,50,15,item9,0
74,51,0,item2,0
74,51,1,item7,0
74,51,2,item8,0
74,51,3,item11,0
74,51,4,item12,0
74,51,5,item13,0
74,51,6,item14,0
74,51,7,item15,0
74,51,8,item16,0
74,51,9,item19,0
74,51,10,item9,0
75,52,0,item1-3,3
75,52,1,item2-0,0
75,52,2,item3-0,0
76,53,0,item1,0
76,53,1,item2,0
76,53,2,item3,0
76,53,3,item4,0
76,53,4,item5,0
76,53,5,item6,0
76,53,6,item7,0
76,53,7,item8,0
76,53,8,item9,0
77,54,0,item2,0
77,54,1,item3,0
77,54,2,item4,0
77,54,3,item5,0
77,54,4,item6,0
77,54,5,item7,0
77,54,6,item8,0
77,54,7,item10,0
77,54,8,item11,0
77,54,9,item12,0
77,54,10,item13,0
77,54,11,item14,0
77,54,12,item15,0
77,54,13,item16,0
77,54,14,item17,0
77,54,15,item9,0
78,41,0,item1-2,2
78,41,1,item2-0,0
78,41,2,item3-1,1
79,55,0,item1-1,1
79,55,1,item2-1,1
79,55,2,item3-1,1
79,55,3,item4-1,1
79,55,4,item5-1,1
79,55,5,item7-1,1
79,55,6,item8-1,1
79,55,7,item6-1,1
80,41,0,item1-2,2
80,41,1,item2-0,0
80,41,2,item3-0,0
81,56,0,item1-1,1
81,56,1,item2-1,1
81,56,2,item3-1,1
81,56,3,item4-1,1
81,56,4,item5-1,1
82,57,0,item1-3,3
82,57,1,item2-0,0
82,57,2,item3-2,2
82,57,3,item4-2,2
82,57,4,item5-1,1
82,57,5,item6-3,3
83,58,0,item1-0,0
83,58,1,item2-0,0
83,58,2,item3-0,0
83,58,3,item4-0,0
83,58,4,item5-0,0
83,58,5,item6-0,0
84,59,0,item1-4,4
84,59,1,item2-2,2
85,60,0,item1-1,1
85,60,1,item2-2,2
85,60,2,item3-3,3
85,60,3,item4-4,4
86,61,0,item1-0,0
86,61,1,item2-0,0
86,61,2,item3-4,4
86,61,3,item4-4,4
