field_id,catalog_version,field_name,page_name,section_name_en,section_name_fr,section_order,panel_name,panel_suffix,point_type,mitigation_phase,answer_type,is_mandatory,visible_if,option_count,max_points,text_en,text_fr,guidance_en,guidance_fr,question_uid,parent_field_name,root_field_name,chain_depth,section_uid,match_method,match_score,needs_review,parent_question_uid,root_question_uid
81,0.6,fairnessDesign5,fairnessDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,15,fairnessDesignPanel-MS,MS,mitigation,design,radiogroup,N,,2,2,Will the system be able to produce reasons for its decisions or recommendations when required?,"Le système justifiera-t-il ses décisions ou ses recommandations, au besoin?",,,39,,fairnessDesign5,0,24,text_global,0.891,Y,,39
90,0.6,fairnessImplementation2,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Do you maintain a current and up to date log detailing all of the changes made to the model and the system?,Tenez-vous un registre à jour détaillant toutes les modifications apportées au modèle et au système?,,,36,,fairnessImplementation2,0,25,text_global,0.878,Y,,36
91,0.6,fairnessImplementation3,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Does the system's audit trail clearly indicate all decision points made by the system?,La piste de vérification énonce-t-elle clairement tous les points de décision pris par le système?,,,37,,fairnessImplementation3,0,25,text_global,0.863,Y,,37
93,0.6,fairnessImplementation5,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,2,Is the system be able to produce reasons for its decisions or recommendations when required?,"Le système justifie-t-il ses décisions ou ses recommandations, au besoin?",,,39,,fairnessImplementation5,0,25,text_global,0.913,Y,,39
100,0.6,fairnessImplementation12,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,fairnessImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Has your concept case been approved by the Government of Canada Enterprise Architecture Review Baord?,Votre dossier conceptuel pour le Conseil d’examen de l’architecture intégrée du gouvernement du Canada a-t-il été approuvé?,,,46,,fairnessImplementation12,0,25,text_global,0.853,Y,,46
103,0.6,privacyImplementation1,privacyImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,18,privacyImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,2,1,Have you completed a Privacy Impact Assessment or revised an existing one?,Avez-vous entrepris une évaluation des facteurs relatifs à la vie privée ou révisé une évaluation existante?,,,71,,privacyImplementation1,0,27,text_global,0.81,Y,,71
59,0.9,consultationImplementation2,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,checkbox,N,"{consultationImplementation1} = ""item1-1""",8,0,Which Internal Stakeholders have you engaged?,Quels intervenants internes avez-vous consulté?,,,62,consultationImplementation1,consultationImplementation1,1,21,text_global,0.896,Y,61,61
62,0.9,consultationImplementation4,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,checkbox,N,"{consultationImplementation3} = ""item1-1""",5,0,Which External Stakeholders have you engaged?,Quels intervenants externes avez-vous consulté?,,,64,consultationImplementation3,consultationImplementation3,1,21,text_global,0.896,Y,63,63
63,0.9,consultationImplementation4-other,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{consultationImplementation4} contains ""item9""",0,0,Please describe,S'il vous plait décrire,,,76,consultationImplementation4,consultationImplementation3,2,21,text_global,0.913,Y,64,63
49,0.10.0,impact24,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,dropdown,N,,4,4,"The impacts that the decision will have on the equality, dignity, privacy, and autonomy of individuals will likely be:","Les incidences de la décision sur l’égalité, la dignité, la vie privée et l’autonomie des personnes seront probablement :",,,69,,impact24,0,5,text_and_parent,0.821,Y,,69
45,1.0.0,aboutSystem2,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,comment,N,"{aboutSystem1} contains [""item6""]",0,0,Describe,Veuillez expliquer votre réponse.,,,10,aboutSystem1,aboutSystem1,1,11,text_global,0.796,Y,9,9
51,1.0.0,aboutSystem4A,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,comment,N,"{aboutSystem4} contains [""item2""]",0,0,Specify,Veuillez préciser.,,,122,aboutSystem4,aboutSystem4,1,11,text_and_parent,0.894,Y,123,123
52,1.0.0,aboutSystem4B,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,comment,N,"{aboutSystem4} contains [""item3""]",0,0,Specify,Veuillez préciser.,,,122,aboutSystem4,aboutSystem4,1,11,text_and_parent,0.894,Y,123,123
53,1.0.0,aboutSystem4C,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,comment,N,"{aboutSystem4} contains [""item4""]",0,0,Specify,Veuillez préciser.,,,122,aboutSystem4,aboutSystem4,1,11,text_and_parent,0.894,Y,123,123
58,1.0.0,aboutSystem6,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,radiogroup,N,,2,2,"Have you assigned accountability in your institution for the design, development, and maintenance, of the system?","Des personnes responsables de la conception, de la mise au point et de l'entretien du système ont-elles été désignées au sein de votre organisation?",,,32,,aboutSystem6,0,11,text_global,0.913,Y,,32
91,1.0.0,impact22A,impact,Impact Assessment,Évaluation de l'incidence,9,impactPanel-RS,RS,raw,,comment,N,"{impact22} = ""item1-2""",0,0,"If yes, describe the relevant function(s) of the system ","Si oui, veuillez décrire toute fonction pertinente du système.",,,97,impact22,impact22,1,5,text_and_parent,0.912,Y,96,96
132,1.0.0,aboutDataSource15U,aboutData,About the Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,comment,N,"{aboutDataSource15} = ""item3-1""",0,0,Explain why you are unsure whether the data is representative.  ,Veuillez expliquer les raisons pour lesquelles vous n'êtes pas en mesure de confirmer que les données cadrent avec celle-ci. ,,,165,aboutDataSource15,aboutDataSource15,1,19,text_and_parent,0.8,Y,164,164
136,1.0.0,aboutDataSource16U,aboutData,About the Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,comment,N,"{aboutDataSource16} = ""item3-1""",0,0,Explain why you are unsure of whether the data could increase the likelihood of discriminatory outcomes or other impacts on human rights ,Expliquez pourquoi vous n'êtes pas en mesure de confirmer que les données d'apprentissage ne comportent aucun biais susceptible d'accroître le risque de discrimination ou de toute autre répercussion sur les droits de la personne.,,,169,aboutDataSource16,aboutDataSource16,1,19,text_and_parent,0.856,Y,167,167
141,1.0.0,aboutDataSource17N,aboutData,About the Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,comment,N,"{aboutDataSource17} = ""item2-2""",0,0,"If no, describe why there are not measures in place to ensure the accuracy of personal information.",Décrivez la raison pour laquelle aucune mesure n'a été mise en place pour garantir l'exactitude des renseignements personnels.,,,172,aboutDataSource17,aboutDataSource17,1,19,text_and_parent,0.876,Y,171,171
150,1.0.0,aboutDataSourceType1,aboutData,About the Data,À propos des données,10,aboutDataSourcePanel-RS,RS,raw,,radiogroup,N,,2,0,"Will the system require the analysis of unstructured data to make an assessment, recommendation or decision?","Le système devra-t-il analyser des données non structurées aux fins de la réalisation d'évaluations, de la formulation de recommandations ou de la prise de décisions?",,,27,,aboutDataSourceType1,0,19,text_global,0.882,Y,,27
164,1.0.0,consultationDesign7,consultationDesign,Consultations,,11,consultationDesignPanel-MS,MS,mitigation,design,radiogroup,N,,3,3,Will you consult with clients or communities that will be adversely impacted by the system? ,Allez-vous consulter les personnes ou les communautés qui seront lésées par la mise en œuvre du système?,,,177,,consultationDesign7,0,20,text_and_parent,0.817,Y,,177
165,1.0.0,consultationDesign7A,consultationDesign,Consultations,,11,consultationDesignPanel-MS,MS,mitigation,design,comment,N,"{consultationDesign7} = ""item2-0""",0,0,Explain why you will not consult the clients that will be adversely impacted by the system. ,Expliquez pourquoi vous n'allez pas consulter les personnes qui seront lésées par la mise en œuvre du système.,,,178,consultationDesign7,consultationDesign7,1,20,text_and_parent,0.872,Y,177,177
176,1.0.0,consultationImplementation5,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,comment,N,,0,0,"Identify the consultees or partners and indicate the project lifecycle stage (Concept, Design, Data collection and processing, Building or adapting the model, Testing, Deployment, Production, Monitoring, Decommission) in which engagement took place. ","Indiquez les partenaires ou les parties consultantes et l'étape du cycle de vie du projet (par exemple, le plan de conception, la conception, la collecte de données et le traitement, l'élaboration ou l'adaptation du modèle, la mise à l'essai, le déploiement, la production, la surveillance et la mise hors service) au cours de laquelle les activités de consultation se sont déroulées. ",,,176,,consultationImplementation5,0,21,text_global,0.899,Y,,176
180,1.0.0,consultationImplementation7,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,radiogroup,N,,3,3,Did you consult with clients or communities that will be adversely impacted by the system? ,Avez-vous consulté les personnes ou les communautés qui seront lésées par la mise en œuvre du système? ,,,177,,consultationImplementation7,0,21,text_global,0.785,Y,,177
181,1.0.0,consultationImplementation7A,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{consultationImplementation7} = ""item2-0""",0,0,Explain why you did not consult the clients that will be adversely impacted by the system.   ,Expliquez pourquoi vous n'avez pas consulté les personnes qui seront lésées par la mise en œuvre du système. ,,,178,consultationImplementation7,consultationImplementation7,1,21,text_global,0.876,Y,177,177
182,1.0.0,consultationImplementation7B,consultationImplementation,Consultations,,12,consultationImplementationPanel-MS,MS,mitigation,implementation,comment,N,"{consultationImplementation7} = ""item3-0""",0,0,Explain why you are unsure. ,Expliquez votre réponse,,,179,consultationImplementation7,consultationImplementation7,1,21,text_global,0.914,Y,177,177
198,1.0.0,dataQualityDesign9A,dataQualityDesign,De-risking and Mitigation Measures,Élimination des risques et mesures d'atténuation,13,dataQualityDesignPanel-MS,MS,mitigation,design,comment,N,"{dataQualityDesign8} = ""item1-2"" and {dataQualityDesign9} = ""item1-1""",0,0,Summarize the process or provide a link if publicly available.  ,Veuillez décrire brièvement le processus ou fournir un lien s'il est accessible au public.  ,,,184,dataQualityDesign8,dataQualityDesign8,1,22,text_and_parent,0.787,Y,33,33
45,1.0.1,aboutSystem2,aboutSystem,About The System,À propos du système,6,aboutSystemPanel-RS,RS,raw,,comment,N,"{aboutSystem1} contains [""item6""]",0,0,Describe,Veuillez expliquer votre réponse.,,,10,aboutSystem1,aboutSystem1,1,11,text_global,0.796,Y,9,9
