question_uid,canonical_text_en,canonical_text_fr,section_uid,point_type,answer_type,first_seen_version,last_seen_version,version_count,field_names,reworded,status,parent_question_uid,is_follow_up
17,Please describe why the impacts resulting from the decision are as per selected option above.,"Veuillez indiquer pour quelle raison les incidences découlant de la décision sont (selon l’option sélectionnée
ci-dessus). ",5,raw,comment,0.3,1.0.1,53,question13; question15; question17; question19; question23; impact8; impact10; impact12; impact14; impact16; impact25,N,active,,N
18,"The impacts that the decision will have on the rights or freedoms of individuals or communities, will likely be:",Les incidences de la décision sur les droits ou libertés des personnes ou des collectivités seront probablement les suivantes :,5,raw,dropdown,0.3,1.0.1,16,question22; question14; question16; impact9,Y,active,,N
19,"The impacts that the decision will have on the ongoing sustainability of an environmental ecosystem, will likely be:",Les incidences de la décision sur la pérennité d’un écosystème environnemental seront probablement les suivantes :,5,raw,dropdown,0.3,1.0.1,10,question18; impact15,N,active,,N
20,Will the Automated Decision System use personal information as input data?,"Le système de décision automatisé
utilisera-t-il des renseignements personnels comme données d’entrée?",6,raw,radiogroup,0.3,1.0.1,10,question24; aboutDataSource1,N,active,,N
21,What is the highest security classification of the input data used by the system? (Select one),"Quelle est la classification de sécurité la
plus élevée des données d’entrée utilisées par le système? (N’en choisir qu’une
seule)",6,raw,dropdown,0.3,1.0.1,10,question25; aboutDataSource2,N,active,,N
22,Who controls the data?,Qui contrôle les données?,6,raw,dropdown,0.3,1.0.1,10,question26; aboutDataSource3,N,active,,N
23,Will the system data use from multiple different sources?,"Les données utilisées par le système
proviendront-elles de plusieurs sources différentes?",6,raw,radiogroup,0.3,1.0.1,10,question27; aboutDataSource4,N,active,,N
24,Will the system require input data from an Internet- or telephony-connected device? (e.g. a sensor),"Le système aura-t-il besoin de données d’entrée
provenant d’un appareil connecté à Internet ou à la téléphonie? (P. ex., un
Capteur)",6,raw,radiogroup,0.3,1.0.1,10,question28; aboutDataSource5,Y,active,,N
25,Will the system interface with other IT systems?,"Le système interagira-t-il avec d’autres
systèmes des TI?",6,raw,radiogroup,0.3,1.0.1,10,question29; aboutDataSource6,N,active,,N
26,Who collected the data used for training the system?,"Qui a recueilli les données utilisées pour
préparer le système? ",6,raw,dropdown,0.3,1.0.1,20,question30; question31; aboutDataSource7; aboutDataSource8,Y,active,,N
27,Will the system require the analysis of unstructured data to render a recommendation or a decision?,"Le système exigera-t-il l’analyse de données
non structurées pour faire une recommandation ou prendre une décision?",6,raw,radiogroup,0.3,1.0.1,10,question32; aboutDataType1; aboutDataSourceType1,Y,active,,N
28,What types of unstructured data? (Check all that apply),"De quel type de données non structurées
s’agit-il (Cochez toutes les réponses qui s’appliquent)?",6,raw,checkbox,0.3,1.0.1,10,question33; aboutDataType2; aboutDataSourceType2,Y,active,27,Y
29,"Have you documented processes in place to test datasets against biases and other unexpected outcomes? This could include experience in applying frameworks, methods, guidelines or other assessment tools.","Avez-vous documenté les processus en place pour tester les jeux de données en fonction de biais et d’autres résultats inattendus? Par exemple, ceci pourrait inclure une expérience dans l’application de cadres, de méthodes, de lignes directrices ou d’outils d’évaluation.",7,mitigation,radiogroup,0.3,0.4,2,question34,N,retired,,N
30,Is there a process currently in place to document how data quality issues were resolved during the design process?,Existe-t-il actuellement un processus permettant de documenter la façon dont les problèmes de qualité des données ont été résolus pendant le processus de conception?,7,mitigation,radiogroup,0.3,1.0.1,18,question35; question2; dataQualityDesign3; dataQualityImplementation3,Y,active,,N
31,Have you undertaken a Gender Based Analysis Plus of the data?,Avez-vous procédé à une analyse comparative entre les sexes plus des données?,7,mitigation,radiogroup,0.3,1.0.1,18,question36; question3; dataQualityDesign5; dataQualityImplementation5,Y,active,,N
32,"Have you assigned accountability in your institution for the design, development, maintenance, and improvement of the system?","Dans votre établissement, existe-t-il des responsables de la conception, du développement, de la maintenance et de l’amélioration du système?",7,mitigation,radiogroup,0.3,1.0.1,20,question37; question4; dataQualityDesign7; dataQualityImplementation7; aboutSystem6,Y,active,31,Y
33,Have you documented processes to manage the risk that outdated or unreliable data is used to make an automated decision?,Avez-vous documenté des processus permettant de gérer le risque que des données obsolètes ou non fiables soient utilisées pour une prise de décision automatisée?,7,mitigation,radiogroup,0.3,1.0.1,18,question38; question5; dataQualityDesign8; dataQualityImplementation8,Y,active,,N
34,Will the data be posted on the Open Government Portal?,Les données seront-elles affichées sur le portail Gouvernement ouvert?,7,mitigation,radiogroup,0.3,1.0.1,18,question39; question6; dataQualityDesign10; dataQualityImplementation10,Y,active,,N
35,Does the system provide an audit trail that records recommendations or decisions?,Le système fournit-il une piste de vérification qui enregistre les recommandations ou les décisions?,8,mitigation,radiogroup,0.3,0.5,3,question40,N,retired,,N
36,Do you maintain a log detailing all of the changes made to the model and the system?,Tenez-vous un registre détaillant toutes les modifications apportées au modèle et au système?,8,mitigation,radiogroup,0.3,1.0.1,18,question41; question9; fairnessDesign2; fairnessImplementation2,Y,active,,N
37,Does the audit trail clearly set out all decision points made by the system?,La piste de vérification énonce-t-elle clairement tous les points de décision pris par le système?,8,mitigation,radiogroup,0.3,1.0.1,17,question42; fairnessDesign3; fairnessImplementation3,Y,active,,N
38,Does the audit trail show who an authorized decision-maker is?,La piste de vérification indique-t-elle qui est un décideur autorisé?,8,mitigation,radiogroup,0.3,1.0.1,18,question43; question11; fairnessDesign4; fairnessImplementation4,Y,active,,N
39,Does the system produce reasons for its decisions or recommendations when required?,"Le système justifie-t-il ses décisions ou ses recommandations, au besoin?",8,mitigation,radiogroup,0.3,1.0.1,18,question44; question12; fairnessDesign5; fairnessImplementation5,Y,active,,N
40,"Is there a process in place to grant, monitor, and revoke access permission to the system?","Existe-t-il un processus en place permettant d’accorder, de surveiller et de révoquer l’autorisation d’accès au système?",8,mitigation,radiogroup,0.3,1.0.1,16,question45; question52; fairnessDesign6; fairnessImplementation6; aboutSystem10A,Y,active,,N
41,Is there a mechanism to capture feedback by users of the system?,Existe-t-il un mécanisme permettant de recueillir les commentaires des utilisateurs du système?,8,mitigation,radiogroup,0.3,1.0.1,18,question46; question53; fairnessDesign7; fairnessImplementation7,Y,active,,N
42,Is there a recourse process planned or established for clients that wish to challenge the decision?,Un processus de recours est-il prévu ou établi pour les clients qui souhaitent contester la décision?,8,mitigation,radiogroup,0.3,1.0.1,30,question47; question54; fairnessDesign8; fairnessImplementation8; fairnessDesign13; fairnessImplementation13,Y,active,,N
43,Does the system enable human override of system decisions?,Le système permet-il aux humains de passer outre les décisions du système?,8,mitigation,radiogroup,0.3,1.0.1,26,question48; question55; fairnessDesign9; fairnessImplementation9; fairnessDesign14; fairnessImplementation14,Y,active,,N
44,Is there a process in place to log the instances when overrides were performed?,Y a-t-il un processus en place pour consigner les cas où des dérogations ont été effectuées?,8,mitigation,radiogroup,0.3,1.0.1,26,question49; question56; fairnessDesign10; fairnessImplementation10; fairnessDesign15; fairnessImplementation15,Y,active,,N
45,Does the audit trail include change control processes to record modifications to the system's operation or performance?,La piste de vérification comprend-elle des processus de contrôle des changements pour consigner les modifications apportées au fonctionnement ou au rendement du système?,8,mitigation,radiogroup,0.3,1.0.1,26,question50; question57; fairnessDesign11; fairnessImplementation11; fairnessDesign16; fairnessImplementation16,Y,active,,N
46,Have you prepared a concept case to the Government of Canada Enterprise Architecture Review Baord?,Avez-vous préparé un dossier conceptuel pour le Conseil d’examen de l’architecture intégrée du gouvernement du Canada?,8,mitigation,radiogroup,0.3,1.0.1,30,question51; question58; fairnessDesign12; fairnessImplementation12; fairnessDesign17; fairnessImplementation17,Y,active,,N
47,Will the system be automating or replacing human decisions that require judgement or discretion?,Le système automatisera-t-il ou remplacera-t-il les décisions humaines qui exigent du jugement ou de la discrétion?,5,raw,radiogroup,0.4,1.0.1,9,discretion; impact3,Y,active,,N
48,Please describe the decision(s) that will be automated,Veuillez décrire la ou les décisions qui seront automatisées,5,raw,comment,0.4,0.9.1,6,discretion-comment; impact4,Y,retired,47,Y
49,Project ID from IT Plan,,1,none,text,0.5,1.0.1,8,project-id; projectDetailsID,N,active,,N
50,Departmental Program (from Department Results Framework),,1,none,text,0.5,1.0.1,8,departmental-program; projectDetailsProgram,N,active,,N
51,Project Phase,,1,none,radiogroup,0.5,1.0.1,8,project-phase; projectDetailsPhase,N,active,,N
52,Is the project within an area of intense public scrutiny (e.g. because of privacy concerns) and/or frequent litigation?,,9,raw,radiogroup,0.5,1.0.1,8,risk-profile1; riskProfile1,N,active,,N
53,Are clients in this line of business particularly vulnerable?,,9,raw,radiogroup,0.5,1.0.1,8,risk-profile2; riskProfile2,N,active,,N
54,Are stakes of the decisions very high?,,9,raw,radiogroup,0.5,1.0.1,8,risk-profile3; riskProfile3,N,active,,N
55,"Will this project have major impacts on staff, either in terms of their numbers or their roles?",,9,raw,radiogroup,0.5,1.0.1,10,risk-profile4; riskProfile4; impact4A,N,active,,N
56,Will you require new policy authority for this project?,Aurez-vous besoin d'une nouvelle autorisation en termes de politiques pour ce projet ?,10,raw,radiogroup,0.5,1.0.1,8,project-authority1; projectAuthority1,N,active,,N
57,The algorithm used will be a (trade) secret,L'algorithme utilisé sera un secret (commercial),12,raw,radiogroup,0.5,1.0.1,8,about-algorithm1; aboutAlgorithm1,N,active,,N
58,The algorithmic process will be difficult to interpret or to explain,Le processus algorithmique sera difficile à interpréter ou à expliquer,12,raw,radiogroup,0.5,1.0.1,8,about-algorithm2; aboutAlgorithm2,N,active,,N
59,Will the system only be used to assist a decision-maker?,Le système automatisera-t-il ou remplacera-t-il les décisions humaines qui exigent du jugement ou de la discrétion?,5,raw,radiogroup,0.5,0.9.1,5,question66; impact1,N,retired,,N
60,Will the system be replacing a decision that would otherwise be made by a human?,Le système automatisera-t-il ou remplacera-t-il les décisions humaines qui exigent du jugement ou de la discrétion?,5,raw,radiogroup,0.5,0.9.1,5,question67; impact2,N,retired,,N
61,"Internal Stakeholders (Strategic policy and planning, Data Governance, Program Policy, etc.)","Intervenants internes (politique et planification stratégiques, gouvernance des données, politique du programme, etc.)",13,mitigation,radiogroup,0.5,1.0.1,16,consultation-design1; consultation-implementation1; consultationDesign1; consultationImplementation1,N,active,,N
62,Which Internal Stakeholders will you be engaging?,Quels intervenants internes allez-vous consulter?,13,mitigation,checkbox,0.5,1.0.1,16,consultation-design2-NS; consultation-implementation2-NS; consultationDesign2-NS; consultationImplementation2-NS; consultationDesign2; consultationImplementation2,Y,active,61,Y
63,"External Stakeholders (Civil Society, Academia, Industry, etc.)","Intervenants externes (société civile, universités, industrie, etc.)",13,mitigation,radiogroup,0.5,1.0.1,16,consultation-design3; consultation-implementation3; consultationDesign3; consultationImplementation3,N,active,,N
64,Which External Stakeholders will you be engaging?,Quels intervenants externes allez-vous consulter?,13,mitigation,checkbox,0.5,1.0.1,16,consultation-design4-NS; consultation-implementation4-NS; consultationDesign4-NS; consultationImplementation4-NS; consultationDesign4; consultationImplementation4,Y,active,63,Y
65,"Will you have documented processes in place to test datasets against biases and other unexpected outcomes? This could include experience in applying frameworks, methods, guidelines or other assessment tools.","Disposerez-vous de processus documentés pour tester les jeux de données en fonction de biais et d’autres résultats inattendus? Par exemple, ceci pourrait inclure une expérience dans l’application de cadres, de méthodes, de lignes directrices ou d’outils d’évaluation.",15,mitigation,radiogroup,0.5,1.0.1,8,rm-data-qual1; dataQualityDesign1,N,active,,N
66,Will you be making this information publically available?,Allez-vous rendre cette information disponible publiquement?,15,mitigation,radiogroup,0.5,1.0.1,57,mitigation-makePublic; question59; question60; question61; question62; question63; question64; question65; dataQualityDesign4; dataQualityDesign6; dataQualityDesign9; dataQualityImplementation2; dataQualityImplementation4; dataQualityImplementation6; dataQualityImplementation9,Y,active,30,Y
67,"Do you have documented processes in place to test datasets against biases and other unexpected outcomes? This could include experience in applying frameworks, methods, guidelines or other assessment tools.","Disposez-vous de processus documentés pour tester les jeux de données en fonction de biais et d’autres résultats inattendus? Par exemple, ceci pourrait inclure une expérience dans l’application de cadres, de méthodes, de lignes directrices ou d’outils d’évaluation.",16,none,radiogroup,0.5,1.0.1,8,question1; dataQualityImplementation1,N,active,,N
68,Does the system's audit trail indicate all the recommendations or decisions made by the system?,Est-ce que le système fourni une piste de vérification qui enregistre les recommandations ou les décisions?,18,mitigation,radiogroup,0.5,1.0.1,16,question7; question10; fairnessDesign1; fairnessImplementation1,Y,active,,N
69,The impacts that the decision will have on the health and well-being of individuals will likely be:,Les incidences de la décision sur la santé et le bien-être des personnes seront probablement les suivantes :,5,raw,dropdown,0.6,1.0.1,17,impact11; impact13; impact24,Y,active,,N
70,Will you be making this information publicly available?,Allez-vous rendre cette information disponible publiquement?,22,mitigation,radiogroup,0.6,1.0.1,7,dataQualityDesign2,N,active,65,Y
71,"Will you need to undertake a Privacy Impact Assessment, or revise an existing one?",Devrez-vous entreprendre une évaluation des facteurs relatifs à la vie privée ou réviser une évaluation existante??,26,mitigation,radiogroup,0.6,1.0.1,14,privacyDesign1; privacyImplementation1,Y,active,,N
72,Will your system reflect Privacy by Design principles?,Votre système tiendra-t-il compte des principes de la 'Protection de la vie privée dès la conception'?,26,mitigation,radiogroup,0.6,1.0.1,14,privacyDesign2; privacyImplementation2,Y,active,,N
73,Have you verified that the use of personal information is limited to only what is directly related to delivering a program or service?,Avez-vous vérifié que l'utilisation des renseignements personnels est limitée à ce qui est directement lié à la prestation d'un programme ou d'un service?,19,raw,radiogroup,0.9,1.0.1,5,aboutDataSource9,N,active,20,Y
74,Is the personal information of individuals being used in a decision-making process that directly affects those individuals?,Les renseignements personnels des individus sont-ils utilisés dans un processus décisionnel qui affecte directement ces individus?,19,raw,radiogroup,0.9,1.0.1,5,aboutDataSource10,N,active,20,Y
75,Have you verified if the system is using personal information in a way that is consistent with: (a) the current Personal Information Banks (PIBs) and Privacy Impact Assessments (PIAs) of your programs or (b) planned or implemented modifications to the PIBs or PIAs that take new uses and processes into account?,Avez-vous vérifié si le système utilise les renseignements personnels d'une manière compatible avec: (a) les fichiers de renseignements personnels (FRP) et évaluations des facteurs relatifs à la vie privée (EFVP) de vos programmes ou (b) les modifications prévues ou mises en oeuvre des FRP ou des EFVP qui tiennent compte des nouveaux usages et processus?,19,raw,radiogroup,0.9,1.0.1,5,aboutDataSource11,N,active,20,Y
76,Please describe,S'il vous plait décrire,20,mitigation,comment,0.9,1.0.1,20,consultationDesign2-other; consultationDesign4-other; consultationImplementation2-other; consultationImplementation4-other,Y,active,62,Y
77,"Will information be used within a closed system (i.e. no connections to the Internet, Intranet or any other system)?","Les informations seront-elles utilisées dans un système fermé (c'est-à-dire sans connexion à Internet, Intranet ou tout autre système)?",26,mitigation,radiogroup,0.9,1.0.1,10,privacyDesign3; privacyImplementation3,Y,active,,N
78,"If the sharing of personal information is involved, has an agreement or arrangement with appropriate safeguards been established?","Si le partage de renseignements personnels est impliqué, un accord ou un arrangement avec des garanties appropriées a-t-il été établi?",26,mitigation,radiogroup,0.9,1.0.1,10,privacyDesign4; privacyImplementation4,N,active,,N
79,"What client needs will the system address and how will this system meet them? If possible, describe how client needs have been identified.","Quels sont les besoins des clients auxquels le système répondra et comment le système y répondra-t-il? Si possible, décrivez la façon dont les besoins des clients ont été déterminés.",2,raw,comment,0.10.0,1.0.1,3,businessDrivers3,N,active,,N
80,Please describe any public benefits the system is expected to have.,Veuillez décrire tous les bienfaits d’intérêt public que le système devrait avoir.,2,raw,comment,0.10.0,1.0.1,3,businessDrivers4,N,active,,N
81,How effective will the system likely be in meeting client needs?,Dans quelle mesure le système sera-t-il efficace pour répondre aux besoins des clients?,2,raw,dropdown,0.10.0,1.0.1,3,businessDrivers5,N,active,,N
82,"Please describe any improvements, benefits, or advantages you expect from using an automated system. This could include relevant program indicators and performance targets.","Veuillez décrire les améliorations, les bienfaits ou les avantages que vous attendez de l’utilisation d’un système automatisé. Cela pourrait inclure des indicateurs de programme et des objectifs de rendement pertinents.",2,raw,comment,0.10.0,0.10.0,1,businessDrivers6,N,retired,,N
83,Please describe how you will ensure that the system is confined to addressing the client needs identified above.,Veuillez décrire la façon dont vous allez vous assurer que le système se limite à répondre aux besoins des clients mentionnés ci-dessus.,2,raw,comment,0.10.0,1.0.1,3,businessDrivers7,N,active,,N
84,Please describe any trade-offs between client interests and program objectives that you have considered during the design of the project.,Veuillez décrire toutes les concessions mutuelles entre les intérêts des clients et les objectifs du programme que vous avez pris en considération lors de l’élaboration du projet.,2,raw,comment,0.10.0,1.0.1,3,businessDrivers8,N,active,,N
85,Have alternative non-automated processes been considered?,D’autres options de processus non automatisés ont-elles été envisagées?,2,raw,radiogroup,0.10.0,1.0.1,3,businessDrivers9,N,active,,N
86,"If non-automated processes were considered, why was automation identified as the preferred option?","Si des processus non automatisés ont été envisagés, pourquoi l’automatisation a-t-elle été l’option choisie?",2,raw,comment,0.10.0,1.0.1,3,businessDrivers10,N,active,85,Y
87,What would be the consequence of not deploying the system?,Quelle serait la conséquence du non-déploiement du système?,2,raw,checkbox,0.10.0,1.0.1,3,businessDrivers11,N,active,,N
88,Please describe,S'il vous plait décrire,2,raw,comment,0.10.0,1.0.1,3,businessDrivers12,N,active,87,Y
89,Will the use of the system create or exacerbate barriers for persons with disabilities?,L’utilisation du système entraînera-t-elle des difficultés pour les personnes en situation de handicap ou les accentuera-t-elle?,9,raw,radiogroup,0.10.0,0.10.0,1,riskProfile5,N,retired,,N
90,"If yes, please describe the barriers and any planned or existing measures to identify, remove, and/or prevent them.","Si oui, veuillez décrire les difficultés et toute mesure prévue ou existante pour les identifier, les éliminer ou les éviter.",9,raw,comment,0.10.0,0.10.0,1,riskProfile6,N,retired,89,Y
91,Please describe the decision(s) that will be automated.,Veuillez décrire la ou les décisions qui seront automatisées.,4,raw,comment,0.10.0,1.0.1,3,decisionSector3,N,active,,N
92,Which of the following best describes the type of automation you are planning? ,"Parmi les propositions suivantes, laquelle décrit le mieux le type d’automatisation que vous envisagez? ",5,raw,radiogroup,0.10.0,1.0.1,3,impact30,N,active,,N
93,Please describe the role of the system in the decision-making process.,Veuillez décrire le rôle du système dans le processus de prise de décisions.,5,raw,comment,0.10.0,1.0.1,3,impact31,N,active,,N
94,Please describe the criteria used to evaluate client data and the operations applied to process it.,Veuillez décrire les critères utilisés pour évaluer les données des clients et les procédures appliquées pour les traiter.,5,raw,comment,0.10.0,1.0.1,3,impact20,N,active,,N
95,Please describe the output produced by the system and any relevant information needed to interpret it in the context of the administrative decision.,Veuillez décrire le résultat produit par le système et les renseignements pertinents nécessaires à l’interprétation dans le contexte de la décision administrative.,5,raw,comment,0.10.0,1.0.1,3,impact21,N,active,,N
96,Will the system perform an assessment or other operation that would not otherwise be completed by a human?,Le système effectuera-t-il une évaluation ou une autre activité qui ne serait autrement pas réalisée par un humain?,5,raw,radiogroup,0.10.0,1.0.1,3,impact22,N,active,,N
97,"If yes, please describe the relevant function(s) of the system.","Si oui, veuillez décrire la ou les fonctions pertinentes du système.",5,raw,comment,0.10.0,1.0.1,5,impact23; impact22A,Y,active,96,Y
98,Please list relevant PIB Bank Numbers.,Veuillez énumérer les numéros de fichiers FRP pertinents.,19,raw,text,0.10.0,1.0.1,3,aboutDataSource12,N,active,75,Y
99,"Please describe the input data collected and used by the system, its source, and method of collection.","Veuillez décrire les données d’entrée collectées et utilisées par le système, leur source et leur méthode de collecte.",19,raw,comment,0.10.0,1.0.1,3,aboutDataSource13,N,active,,N
100,Please indicate the following in your answer: Title and scope of the Privacy Impact Assessment; How the automation project fits into the program; and Date of Privacy Impact Assessment completion or modification.,Veuillez indiquer les éléments suivants dans votre réponse : titre et portée de l’évaluation des facteurs relatifs à la vie privée; la manière dont le projet d’automatisation s’intègre au programme; date d’achèvement ou de modification de l’évaluation des facteurs relatifs à la vie privée.,26,mitigation,comment,0.10.0,1.0.1,6,privacyDesign5; privacyImplementation5,Y,active,71,Y
101,Have you undertaken other types of privacy assessments for your automation project?  Please describe any relevant efforts.,Avez-vous entrepris d’autres types d’évaluations de la protection de la vie privée pour votre projet d’automatisation? Veuillez décrire toute mesure pertinente.,26,mitigation,comment,0.10.0,1.0.1,6,privacyDesign6; privacyImplementation6,Y,active,71,Y
102,Will you de-identify any personal information used or created by the system at any point in the lifecycle? ,Allez-vous dépersonnaliser les renseignements personnels utilisés ou établis par le système à tout moment du cycle de vie? ,26,mitigation,radiogroup,0.10.0,1.0.1,6,privacyDesign7; privacyImplementation7,N,active,,N
103,Please describe your de-identification method(s).,Veuillez décrire la méthode ou les méthodes de dépersonnalisation que vous allez utiliser. ,26,mitigation,comment,0.10.0,1.0.1,6,privacyDesign8; privacyImplementation8,N,active,102,Y
104,Published AIA version number,Numéro de la version publiée de l'évaluation de l'incidence algorithmique (EIA),1,none,text,1.0.0,1.0.1,2,projectAIAnumber,N,active,,N
105,Name of ADM responsible for the program using the automated decision system ,Nom du sous-ministre adjoint ou de la sous-ministre adjointe responsable du programme pour lequel le système décisionnel automatisé est utilisé,1,none,text,1.0.0,1.0.1,2,ADMresponsible,N,active,,N
106,Teams consulted on completion of the Algorithmic Impact Assessment,Équipes consultées lors de l'EIA,1,none,text,1.0.0,1.0.1,2,consultedTeams,N,active,,N
107,Service ID,ID du service,1,none,text,1.0.0,1.0.1,2,ServiceID,N,active,,N
108,Describe why effectiveness is as selected.,Préciser les raisons pour lesquelles l'efficacité est telle que sélectionnée.,2,raw,comment,1.0.0,1.0.1,2,businessDrivers5B,N,active,,N
109,"Describe any improvements, benefits, or advantages your department expects from using an automated system.","Veuillez décrire les améliorations, les bienfaits ou les avantages que votre ministère entend obtenir de l'utilisation d'un système automatisé.",2,raw,comment,1.0.0,1.0.1,2,businessDrivers6A,N,active,,N
110,"What are your current program indicators, service standards or performance targets?","Quels sont les indicateurs, les normes de service ou les objectifs de rendement de votre programme?",2,raw,comment,1.0.0,1.0.1,2,businessDrivers6B,N,active,,N
111,"What is your current performance level against these indicators, standards or targets?","Quel est votre niveau de rendement par rapport à ces indicateurs, à ces normes ou à ces objectifs?",2,raw,comment,1.0.0,1.0.1,2,businessDrivers6C,N,active,,N
112,"How do you expect the system will change performance against your program indicators, service standards or performance targets?","À votre avis, en quoi le système améliorera-t-il votre rendement par rapport aux indicateurs, aux normes de service ou aux objectifs de rendement établis pour votre programme?",2,raw,comment,1.0.0,1.0.1,2,businessDrivers6D,N,active,,N
113,Indicate which equity denied groups are served and describe your mitigation strategies to prevent adverse impacts for these groups.,Veuillez indiquer les groupes privés d'équité desservis et décrire les stratégies d'atténuation qui seront prises pour éviter de leur causer préjudice.,9,raw,comment,1.0.0,1.0.1,2,riskProfile2A,N,active,53,Y
114,Indicate the population group and explain why the automated decision system should not be applied.,Veuillez indiquer les groupes de population qui devraient être exclus et expliquer pourquoi le système décisionnel automatisé ne doit pas être utilisé.,9,raw,comment,1.0.0,1.0.1,2,riskProfile3A,N,active,54,Y
115,"If barriers for persons with disabilities were identified, describe the barriers and any planned or existing measures to identify, remove, and/or prevent them.","Si des difficultés pour les personnes en situation de handicap ont été cernées, décrivez ces difficultés et les mesures prévues ou existantes pour les cerner, les éliminer ou les prévenir.",9,raw,comment,1.0.0,1.0.1,2,riskProfile4B,N,active,55,Y
116,"Could the automated decision-system be at heightened risk of being an exploitation target for malicious actors (for example, fraud for financial gain)?","Le recours au système décisionnel automatisé pourrait-il accroître le risque d'exploitation malveillants (par exemple, des fraudes financières)?",9,raw,radiogroup,1.0.0,1.0.1,2,riskProfile7,N,active,,N
117,"Have potential issues or harms with the existing service delivery approach been raised by clients or their representatives, the media, audits or parliamentary committees?","Des problèmes ou des préjudices potentiels liés à l'approche utilisée pour la prestation de services ont-ils été soulevés par des personnes utilisant le service ou celles les représentant, les médias ou des membres de comités d'audit ou parlementaires?",9,raw,radiogroup,1.0.0,1.0.1,2,riskProfile8,N,active,,N
118,"Indicate the issue or harm, the group that raised them, and how these have been addressed.","Veuillez préciser le problème ou le préjudice en question, le groupe qui en a fait état et la manière dont il a été traité.",9,raw,comment,1.0.0,1.0.1,2,riskProfile8A,N,active,117,Y
119,Will you be submitting a concept case to TBS and presenting the project to the Government of Canada Enterprise Architecture Review Board?,Avez-vous l'intention de soumettre un cas conceptuel au Secrétariat du Conseil du Trésor du Canada (SCT) et présenté le projet au conseil d'examen de l'architecture intégrée du gouvernement du Canada?,9,raw,radiogroup,1.0.0,1.0.1,4,riskProfile9; riskProfile10,Y,active,51,Y
120,Indicate why you have chosen the response.,Précisez votre réponse.,10,raw,comment,1.0.0,1.0.1,2,projectAuthority2,N,active,,N
121,Who developed the system?,Qui a conçu le système?,11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem3,N,active,,N
122,Specify,Veuillez préciser.,11,raw,comment,1.0.0,1.0.1,12,aboutSystem3A; aboutSystem3B; aboutSystem3C; aboutSystem4A; aboutSystem4B; aboutSystem4C,Y,active,121,Y
123,Who configured the system?,Qui a configuré le système?,11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem4,N,active,,N
124,Is the system:,Le système est-il:,11,raw,radiogroup,1.0.0,1.0.1,2,aboutSystem5,N,active,,N
